Date,productname,actualvalue,predictedvalue
2015-01-01,product1,512,805
2015-02-01,product1,311,426
2015-03-01,product1,305,725
2015-04-01,product1,396,887
2015-05-01,product1,70,299
2015-06-01,product1,32,40
2015-07-01,product1,157,504
2015-08-01,product1,335,372
2015-09-01,product1,426,899
2015-10-01,product1,983,842
2015-11-01,product1,701,569
2015-12-01,product1,674,387
2016-01-01,product1,986,65
2016-02-01,product1,426,49
2016-03-01,product1,130,63
2016-04-01,product1,674,889
2016-05-01,product1,192,983
2016-06-01,product1,6,186
2016-07-01,product1,476,181
2016-08-01,product1,493,544
2016-09-01,product1,121,792
2016-10-01,product1,745,712
2016-11-01,product1,755,46
2016-12-01,product1,361,810
2015-01-01,product2,675,722
2015-02-01,product2,690,388
2015-03-01,product2,994,871
2015-04-01,product2,678,656
2015-05-01,product2,901,216
2015-06-01,product2,304,491
2015-07-01,product2,223,360
2015-08-01,product2,299,487
2015-09-01,product2,80,267
2015-10-01,product2,760,830
2015-11-01,product2,122,273
2015-12-01,product2,859,258
2016-01-01,product2,807,729
2016-02-01,product2,82,939
2016-03-01,product2,72,348
2016-04-01,product2,544,429
2016-05-01,product2,512,562
2016-06-01,product2,510,800
2016-07-01,product2,283,847
2016-08-01,product2,172,343
2016-09-01,product2,315,633
2016-10-01,product2,863,184
2016-11-01,product2,125,623
2016-12-01,product2,400,920
